Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Spinalis dorsi – Erkennung; Fleischkunde; Rind, Schwein; ; Spinalis dorsi, Farbe, Schwein; Band 5: Zartes Fleisch; Der Spinalis dorsi ist ein flacher, dunkelroter Muskel am Rückgrat. Bei rotem Fleisch ist er schwer zu erkennen, bei hellem Fleisch wie Schwein hebt er sich durch seine dunklere Farbe leichter ab.
Entrecôte – Schnittlage; Fleischkunde; Rind; ; Entrecôte, 5./6. Rippe, 9./10. Rippe; Band 5: Zartes Fleisch; Entrecôtes sollten aus Steaks zwischen der fünften und sechsten oder der neunten und zehnten Rippe geschnitten werden.
Entrecôte sous-vide – Kerntemperaturen; Technik; Rind; ; sous-vide, 53°C blutig, 55°C englisch, 57°C rosa; Band 5: Zartes Fleisch; Gereiftes Entrecôte wird mit Talg vakuumiert und gegart: blutig bis Kerntemperatur 53 °C/127 °F, englisch bis 55 °C/131 °F, rosa bis 57 °C/135 °F. Das Wasserbad wird 1 °C/2 °F höher als die Zielkerntemperatur eingestellt.
Vakuumgegarte Jus für Steakcharakter; Technik; Rind; ; Jus, vakuumgegart, blutig, Consommé; Band 5: Zartes Fleisch; Statt Rindfleisch für Jus oder Consommé stundenlang stark zu kochen, wird eine vakuumgegarte Jus zubereitet, um den Charakter eines blutigen Steaks zu bewahren.
Jus vom gereiften Rinderkamm; Rezept; Rind; ; Rinderkamm, 53°C, 4 h, zentrifugieren; Band 5: Zartes Fleisch; Gereiftes Rinderkammsteak in Würfeln wird 4 h sous-vide bei 53 °C/127 °F gegart, gegen ein Sieb gedrückt zum Entsaften und der Saft 30 min bei 27.500 g zentrifugiert.
Kartoffelpüree aus Kartoffelsaft; Technik; Kartoffeln; ; Kartoffelsaft, Kartoffelflocken, Butterschmalz, Aroma; Band 5: Zartes Fleisch; Zur Aroma-Intensivierung werden Kartoffeln in rohem Kartoffelsaft statt in Butter gegart, zusätzlich werden Instant-Kartoffelflocken in Butterschmalz goldbraun geröstet und untergerührt.
Rindertalg-Mousseline – Flüssiggel im Siphon; Technik; Rind; ; Niedrig-Acyl-Gellan, Flüssiggel, Siphon, Talg; Band 5: Zartes Fleisch; Eine Weinreduktion wird mit Niedrig-Acyl-Gellan und Crème double zu einem Flüssiggel verarbeitet, mit sous-vide gegartem Eigelb und ausgeschmolzenem Rindertalg emulgiert, in einen Siphon gefüllt (2 N2O-Kapseln) und bei 62 °C/144 °F warm gehalten.
Bromelain – Enzym aus Ananas; Zutaten-Wissenschaft; ; ; Bromelain, Ananas, Enzym, Mürbemachen; Band 5: Zartes Fleisch; Bromelain ist ein aus der Ananas extrahiertes Enzym, das zum Mürbemachen von Fleisch eingesetzt wird, in der Jus erhöht seine Zugabe zudem die Saftmenge beträchtlich.
Mononatriumglutamat – natürliches Vorkommen; Zutaten-Wissenschaft; ; ; MSG, Glutamat, Shiitake, Tomate, Muttermilch; Band 5: Zartes Fleisch; Mononatriumglutamat hat seinen schlechten Ruf nicht verdient: Es kommt natürlich in vielen Lebensmitteln vor, von Shiitake-Pilz über Tomate bis zur Muttermilch.
Abflammen – Brenner-Wahl; Technik; ; ; Abflammen, MAPP-Gas, Oxiazetylen, Butan, Gasgeschmack; Band 5: Zartes Fleisch; Das Abflammen gelingt besser mit einem Hochtemperaturbrenner (MAPP-Gas oder Oxiazetylen). Butangas aus kleinen Küchenbrennern verbrennt oft unsauber und hinterlässt einen Gasgeschmack auf dem Lebensmittel.
Knoblauchchips – mehrfaches Blanchieren in Milch; Technik; Knoblauch; ; Knoblauch, blanchieren, 70°C, frittieren; Band 5: Zartes Fleisch; Dünne Knoblauchscheiben werden dreimal in Milch auf 70 °C/158 °F erhitzt und abgeseiht, dann in 160 °C/320 °F heißem Öl etwa 5 min goldgelb und knusprig frittiert.
Salzgel als reibbares Würzmittel; Technik; ; ; Salzgel, Agar, würzen; Band 5: Zartes Fleisch; Salz und Agar werden in Wasser dispergiert und 2 min gekocht. Das feste Salzgel kann gerieben als Würze für Gerichte verwendet werden, in denen sich Salzkristalle nicht auflösen sollen.
Konstruierte Käsescheiben (Schmelzkäse); Technik; Käse; ; Natriumcitrat, Iota-Carrageen, Kappa-Carrageen, schmelzbar; Band 5: Zartes Fleisch; Für schmelzbare, in Scheiben schneidbare Käsescheiben wird geriebener Käse mit Natriumcitrat (Schmelzsalz) und einer Mischung aus Iota- und Kappa-Carrageen in Wasser/Ale flüssig gemixt und in einer Zylinderform fest werden gelassen.
Geräucherter Salat im Vakuum; Technik; Salat; ; flüssiger Rauch, Vakuumkammer, Räucherwasser; Band 5: Zartes Fleisch; Eisbergsalat wird mit Wasser und flüssigem Hickory-Rauch übergossen und ohne Deckel in die Vakuumkammer gesetzt. Das Vakuum wird aufgebaut, bis das Wasser kocht, danach zieht der Salat 20 min im Räucherwasser.
Komprimierte Tomate; Technik; Tomaten; ; Vakuum, komprimieren, häuten; Band 5: Zartes Fleisch; Eine gehäutete, in Scheiben geschnittene Fleischtomate wird zum Komprimieren vakuumiert. Sie wird dichter und intensiver, ohne den Geschmack zu verändern.
L-Cystein – Glutenlockerer; Zutaten-Wissenschaft; ; ; L-Cystein, Aminosäure, Gluten, Teig; Band 5: Zartes Fleisch; L-Cystein ist eine Aminosäure, die das Gluten lockert, dadurch erhält der Hamburgerbrötchen-Teig seine typische fließende Konsistenz.
Weichweizenmehl für weiche Brötchen; Zutat; ; ; White Lily, Weichweizen, Brötchen; Band 5: Zartes Fleisch; Für weiche Brötchen wird Weichweizenmehl (z. B. White Lily) verwendet, das besonders stärkeschonend gemahlen ist. Bei gewöhnlichem Weizenmehl etwas mehr Wasser zugeben.
Instant-Hefe – Dosierung; Faustregel; ; ; Instant-Hefe, Frischhefe, ein Drittel; Band 5: Zartes Fleisch; Wird Instant-Hefe statt Frischhefe verwendet, genügt ein Drittel der im Rezept angegebenen Menge.
Champignonbrühe – Druckgaren; Rezept; ; ; Champignons, Druckgaren, 1,4 bar; Band 5: Zartes Fleisch; Schalotten werden goldgelb sautiert, dann mit Wasser und weißen Champignons 45 min bei 1,4 bar/21 psi druckgegart und abgeseiht.
Schweinekrustenbraten – knusprige Schwarte durch Cryogaren; Technik; Schwein; ; Schwarte, getrennt garen, Flüssigstickstoff, frittieren; Band 5: Zartes Fleisch; Für eine luftig-knusprige Kruste ohne Übergaren werden Fleisch und Schwarte getrennt gegart: Das vakuumgegarte Kotelettstück wird mit der Schwarte kurz in Flüssigstickstoff cryogegart und anschließend kurz frittiert.
