Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Absauggerät – Funktionsweise; Gerät; ; ; goffrierte Folie, Wabenstruktur, keine Flüssigkeiten; Sous-vide: Equipment; Absauggeräte saugen Luft aus dem offenen Ende eines strukturierten Beutels. Sie funktionieren schlecht bei Flüssigkeiten (werden mit eingesogen). Beutel aus goffrierter Folie sind teurer.
Impulsschweißgerät – Anwendung; Gerät; ; ; nur schweißen, kein Vakuum, Luft von Hand entfernen; Sous-vide: Equipment; Ein Impulsschweißgerät kann nur schweißen, nicht vakuumieren. Geeignet für sofortigen Service – die Luft wird von Hand aus dem Beutel gedrückt oder der Beutel ins Wasser getaucht.
PID-Regler – Funktionsweise; Gerät; ; ; proportional, integral, derivative, Temperaturregelung; Sous-vide: Equipment; Ein PID-Regler misst permanent die Differenz zwischen aktueller und Zieltemperatur. Die Wärmeabgabe ist proportional zur Temperaturdifferenz (P). Die Änderungsrate (D) verhindert Überschwingen. Das Integral (I) kompensiert kleine Fehler.
Wasserbad ohne Zirkulation – Nachteile; Gerät; ; ; natürliche Konvektion, heiße Stellen, Überfüllung; Sous-vide: Equipment; Bei ungerührten Bädern geschieht der Temperaturausgleich nur durch natürliche Konvektion. Bei vielen Beuteln oder großem Gargut entstehen heiße Stellen – Beutel können am Boden versengen.
Einhängethermostat – Leistungsgrenzen; Gerät; ; ; 1000-2400 Watt, 20-30 Liter, Isolierung; Sous-vide: Equipment; Einhängethermostate haben max. 2400 Watt (Europa). Bei schlecht isolierten Metalltöpfen reicht die Leistung oft nicht – das Bad wird nicht auf Temperatur gehalten.
Angleichendes Garen (Wasserbad knapp über Zieltemperatur); Technik; ; ; 1-2°C über Zieltemperatur, kein Übergaren, langsamer; Sous-vide: Methoden; Die Badtemperatur wird 1–2°C über der gewünschten Kerntemperatur eingestellt. Das Gargut kann nicht übergaren – ideal für ungleichmäßig geformte Stücke. Nachteil: sehr lange Garzeit.
Heißer-als-Zieltemperatur-Methode; Technik; ; ; Bad viel heißer als Ziel, schneller, Risiko des Übergarens; Sous-vide: Methoden; Das Bad wird viel heißer als die Zielkerntemperatur eingestellt. Das Gargut muss vor Erreichen der Zieltemperatur aus dem Bad genommen werden – sonst übergart. Timing ist kritisch.
Mehrfachbad-Methode; Technik; ; ; Brühbad (≥70°C), Garbad (Zieltemperatur), optional Zartmacherbad (50°C); Sous-vide: Methoden; Drei Bäder: 1. Heißes Bad (10s–1min) – pasteurisiert Oberfläche, 2. Optionales Zartmacherbad (50°C) – aktiviert Enzyme, 3. Garbad auf Zieltemperatur. Verkürzt Garzeit.
Sous-vide – Halten auf Zieltemperatur; Technik; Fleisch; ; Halten, Kollagen, Gelatine, 12-96 Stunden; Sous-vide: Methoden; Durch das Halten bei 54–65°C/129–149°F über 12–96 Stunden wird Kollagen in Gelatine umgewandelt. Das Fleisch wird mürbe, bleibt aber saftiger als beim traditionellen Schmoren.
Sous-vide – Reifen beschleunigen; Technik; Obst, Gemüse, Fleisch; ; Reifen, 38°C, Enzyme, blanchiert; Sous-vide: Methoden; Für beschleunigte Reifung (z.B. Melonen) Temperatur um 38°C/100°F wählen. Fleisch muss vorher kurz blanchiert werden, um Oberflächenkeime abzutöten.
Pasteurisierung – Definition für Sous-vide; Grundlagen; ; ; 6,5D, 99,99997%, Kerntemperatur halten; Sous-vide: Pasteurisierung; Pasteurisierung bedeutet: Lebensmittel so lange erhitzen, dass 99,99997% (6,5D) aller Keime abgetötet sind. Dazu muss die Kerntemperatur eine bestimmte Zeit gehalten werden.
Pasteurisierung – Notwendigkeit für Lagerung; Grundlagen; ; ; kochen-kühlen, Lagerung, 1°C: 30 Tage, 5°C: 3 Tage; Sous-vide: Pasteurisierung; Wird die Speise nach dem Garen gelagert, ist Pasteurisierung notwendig. Danach Haltbarkeit: bis zu 30 Tage bei 1°C/34°F, bis zu 3 Tage bei 5°C/41°F.
Abschrecken in Eiswasser – Wirkung; Physikalisches Prinzip; ; ; Nachgaren, Wärmeleitung, Kerntemperatur; Sous-vide: Kühlen; Abschrecken in Eiswasser stoppt den Garprozess nicht vollständig. Die Kerntemperatur erreicht ihre Spitze, wenn die letzte Wärme von der Oberfläche in den Kern geleitet wurde – das dauert auch im Eisbad.
Schnellkühlen – Methoden; Technik; ; ; Eiswasserbad, Luftstromkühler, Kühlschrank; Sous-vide: Kühlen; Beste Methode: Eiswasserbad (Beutel eintauchen, gelegentlich rühren). Schnellkühler sind teurer, aber bequemer. Kühlschrank ist am langsamsten und erwärmt umstehende Lebensmittel.
Eiswasserbad – Kühlzeit; Faustregel; ; ; Kühlzeit ≈ Garzeit; Sous-vide: Kühlen; Als Faustregel gilt: Es dauert etwa genauso lange, einen Beutelinhalt von Gar- auf Kühlschranktemperatur herunterzukühlen, wie eine gekühlte Speise aufzuwärmen.
Tiefkühlen in Salzlake; Technik; ; ; Salzlake, 23%, -21°C, schnelles Gefrieren; Sous-vide: Tiefkühlen; Eis in einer 23%igen Salzlake erreicht -21°C/-6°F. Wasser ist ein guter Wärmeleiter – es zieht Wärme schnell und gleichmäßig aus dem vakuumierten Lebensmittel. Ideal für schnelles Gefrieren.
Tiefkühlen mit Flüssigstickstoff – Nachteile; Technik; Fleisch, Fisch; ; Flüssigstickstoff, -196°C, Eiweißschäden; Sous-vide: Tiefkühlen; Flüssigstickstoff ist nicht für Fleisch, Fisch und Meeresfrüchte zu empfehlen – durch schnelles Gefrieren werden Proteine irreversibel geschädigt, das Ergebnis ist weniger saftig.
Garen in gefrorenem Zustand – Zeit; Technik; ; ; Auftauen, Eis schmelzen, Energie; Sous-vide: Auftauen; Das direkte Garen in gefrorenem Zustand dauert viel länger als das Garen derselben Speise mit Kühlschranktemperatur. Das Schmelzen von Eis verbraucht enorm viel Energie.
Auftauen im Eiswasserbad; Technik; ; ; Eiswasser, ≥54°C, sicher; Sous-vide: Auftauen; Die beste Alternative zum Auftauen ist das Eiswasserbad oder das direkte Garen in gefrorenem Zustand bei Zieltemperaturen von mindestens 54°C/129°F. Lauwarmes Wasser ist nicht empfehlenswert (Oberfläche wird warm, Kern bleibt gefroren).
Anbräunen nach dem Sous-vide-Garen; Technik; Fleisch, Fisch; ; Maillard, Kruste, Gasbrenner, Pfanne; Sous-vide: Anbräunen; Um eine knusprige Kruste zu erzeugen, wird das Gargut nach dem Sous-vide-Garen scharf angebraten (Pfanne, Grill, Gasbrenner, Heißluft). So bleibt das Innere perfekt gegart.
Blanchieren vor dem Sous-vide-Garen – Zweck; Technik; Obst, Gemüse; ; Enzyme, Farbe, Chlorophyllase, Polyphenoloxidase; Sous-vide: Blanchieren; Blanchieren in sprudelnd kochendem Wasser zerstört Enzyme (Polyphenoloxidase, Chlorophyllase) und erhält die frische Farbe von Obst und Gemüse.
Cryoauslassen (Entenbrust); Technik; Entenbrust; ; gefroren, Fett auslassen, Sous-vide; Sous-vide: Blanchieren; Beim Cryoauslassen wird möglichst viel Fett aus einer fast gefrorenen Entenbrust ausgelassen, bevor sie vakuumiert und sous-vide gegart wird. Das Fett wird ausgelassen, ohne das Fleisch zu übergaren.
Garzeiten – Tabelle für zylindrisches Fleisch; Tabelle; Fleisch; ; ΔT, Dicke, Garzeit; Sous-vide: Tabellen; Die Garzeit hängt von der Temperaturdifferenz (ΔT) zwischen Wasserbad und Starttemperatur sowie der Dicke des Fleisches ab. Für zylindrische Stücke mit 15 cm Durchmesser liegen die Zeiten zwischen 15 Sekunden und über 8 Stunden.
Fond – Definition; Grundlagen; ; ; Fond, Extraktion, Knochen, Fleisch; Geschmack extrahieren: Fonds; Fonds dienen dazu, Geschmack und Aromen aus Fleisch, Fisch, Meeresfrüchten, Gemüse oder einer Kombination davon zu extrahieren – die Basis der meisten Saucen.
Fick'sches Gesetz – Anwendung auf Fonds; Physikalisches Prinzip; ; ; Diffusion, Oberfläche, Extraktionsgeschwindigkeit; Geschmack extrahieren: Fonds; Je kleiner die festen Teile in einem Fond sind, desto schneller wandern Geschmackschemikalien daraus in den Fond. Die Extraktionsgeschwindigkeit ist ungefähr proportional zum Quadrat der kleinsten Abmessung.
Fonds – kleinere Stücke für kürzere Kochzeit; Technik; ; ; Fick'sches Gesetz, 1/8 der Zeit; Geschmack extrahieren: Fonds; Wenn man Fleisch erbsengroß hackt und Gemüse dünn schneidet (statt grob), kann die Kochzeit von 16 Stunden auf 2 Stunden verkürzt werden – bei gleicher Geschmacksintensität.
Fond im Schnellkochtopf – Entlüften; Technik; ; ; Entlüften, Qualität, Dave Arnold, Nils Norén; Geschmack extrahieren: Druck; Versuche von Dave Arnold und Nils Norén zeigen: Ein Fond schmeckt nicht so gut, wenn der Schnellkochtopf entlüftet wird – möglicherweise entweichen dabei hochvolatile Aromaverbindungen.
Schnellkochtopf – Fond; Technik; ; ; 1 bar, 120°C, klar, nicht sieden; Geschmack extrahieren: Druck; Bei einem Druck von 1 bar/15 psi steigt der Siedepunkt auf 120°C/248°F. Die Flüssigkeit sollte im Topf nicht sieden – Sieden emulgiert Fette und macht den Fond trüb.
Dreiecksverkostung (Triangeltest); Methode; ; ; Blindverkostung, Unterschied, Verzerrung; Geschmack extrahieren: Forschung; Ein wirklicher Unterschied zwischen zwei Proben lässt sich nur in einer Dreiecksverkostung mit drei Proben feststellen (zwei gleiche, eine andere). Die Teilnehmer dürfen nicht wissen, welche Probe welche ist.
Rangordnungsprüfung; Methode; ; ; vier Proben, Präferenz, Statistik; Geschmack extrahieren: Forschung; Beim Vergleich von Rezepten mit vier Proben (z.B. zweimal A, einmal B, einmal C) kann eine unabhängige Person die Präferenz der Verkoster statistisch auswerten. Mindestens eine Probe wird jedem Teilnehmer doppelt angeboten.
Fond sous-vide – Vorgehen; Technik; ; ; vakuumieren, 85°C, 3 h, abseihen; Geschmack extrahieren: Sous-vide; Zutaten vakuumieren, 3 h bei 85°C/185°F im Wasserbad garen, abkühlen lassen, abseihen. Optional: 30 min im Ultraschallbad (verbessert Extraktion).
Fischfond sous-vide – Rezeptparameter; Rezept; Fisch; ; Fischgräten, 80°C, 1¼ h; Geschmack extrahieren: Beispiel; Fischgräten goldgelb braten, mit Wermut und Weißwein deglacieren, Gemüse (Karotten, Zwiebeln, Fenchel, Porree, Knoblauch) weich garen, mit Wasser und Gewürzen (Koriander, Sternanis) vakuumieren, 1¼ h bei 80°C/176°F sous-vide garen.
Brühe – Definition; Grundlagen; ; ; Bouillon, fertig abgeschmeckt, Endprodukt; Geschmack extrahieren: Brühe; Eine Brühe (französisch bouillon) ist eine fertig abgeschmeckte Suppe – sie unterscheidet sich darin vom nicht abgeschmeckten Fond. Brühen sind essenziell, nahrhaft und geschmacksintensiv.
Brühen – Parameterrezept; Technik; ; ; Sous-vide oder Schnellkochtopf, 1 bar; Geschmack extrahieren: Brühe; Brühen werden in einem großen offenen Topf gekocht, aber wir ziehen Brühen vor, die sous-vide oder im Schnellkochtopf (1 bar/15 psi) zubereitet wurden – sie sind geschmacksintensiver.
Infusion – Definition; Technik; ; ; Aufguss, Tinktur, extrahieren; Geschmack extrahieren: Infusion; Eine Infusion (Aufguss, Tinktur, Tonikum) wird hergestellt, indem eine Zutat in eine Flüssigkeit eingetaucht wird, um den Geschmack zu extrahieren – wie bei einer Tasse Tee.
Infusion sous-vide – Vorteil; Technik; ; ; niedrige Temperatur, keine Überextraktion, keine Bitterkeit; Geschmack extrahieren: Infusion; Kombiniert man die Zutaten in kaltem Zustand und erwärmt sie sous-vide, werden Aromen bei niedrigerer Temperatur infundiert – Überextraktion und Bitterkeit werden vermieden.
Salz – optimale Konzentration für pikante Speisen; Messgröße; ; ; Salz, 0,75%-1%, Geschmacksverstärker; Geschmack extrahieren: Würzen; Die meisten Menschen empfinden 0,75%–1% Salz für pikante Lebensmittel als optimal. Salz ist der wichtigste Geschmacksverstärker.
Mononatriumglutamat (Glutamat) – Konzentration; Messgröße; ; ; Glutamat, 0,1%-2%, umami; Geschmack extrahieren: Würzen; Glutamat wird in einer Konzentration von 0,1%–2% eingesetzt. Einige empfinden mehr als 1% als hart und metallisch. Glutamat ist natürlicher Bestandteil proteinhaltiger Nahrungsmittel.
Salzgehalt messen – Salinometer; Gerät; ; ; Salinometer, elektrische Leitfähigkeit, Refraktion; Geschmack extrahieren: Technologie; Salinometer messen den Salzgehalt über elektrische Leitfähigkeit oder Dichte. Sie helfen, Rezepte reproduzierbar zu machen und Salzlaken wiederzuverwenden. Zucker und Salz können verwechselt werden (Refraktometer).
Säuerungsmittel – Funktion; Grundlagen; ; ; Sauer, Frische, Speichelfluss, Ausgewogenheit; Geschmack extrahieren: Säuerung; „Sauer“ ist für die Ausgewogenheit eines Gerichts genauso wichtig wie „salzig“. Säure verleiht eine frische Note, aktiviert die Speicheldrüsen und verteilt Geschmacksendrücke über den ganzen Gaumen.
pH-Wert – Messung; Grundlagen; ; ; pH-Meter, Kalibrierung, Elektrode; Geschmack extrahieren: Technologie; Mit einem pH-Meter misst man den Säuregehalt von Flüssigkeiten. Die Sonde wird eingetaucht, bis sich der Wert stabilisiert. Das Gerät muss regelmäßig mit Lösungen von pH 4, 7 und 10 kalibriert werden.
Essenzen in der Küche – Verdünnung; Technik; ; ; ätherische Öle, 1:100, Alkohol, Öl; Geschmack extrahieren: Essenzen; Ätherische Öle werden meist zuerst mit neutralem Öl oder Ethanol verdünnt (1 g Essenz auf 100 g Öl/Alkohol). Nur dann mit einer Pipette dosieren – ein einziger Tropfen kann ausreichen.
