Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Entstehung von Grillgeschmack; Geschmackslehre; ; ; Rauch, Säfte, Maillard, Kohlenstoff; Grillen: Chemie; Kohlenstoff gibt beim Verbrennen kein eigenes Aroma ab. Der Grillgeschmack entsteht durch herabtropfende Säfte (Zucker, Proteine, Öle), die auf heißen Kohlen in Rauch und Flammen aufgehen.
Indirektes Grillen (große Stücke); Technik; ; ; indirekt, Anbraten, Haube, Ofen; Grillen: Technik; Bei großen Stücken verwandelt man den Grill durch indirektes Grillen in einen Ofen. Kurz anbraten über Kohlen, dann Fleisch auf eine Seite, Kohlen auf die andere, Haube aufsetzen.
Wasserschale beim Grill; Gerät/Eigenschaft; ; ; Wasserschale, Feuchtkugeltemperatur, Garen; Grillen: Technik; Eine Wasserschale unter dem Rost befeuchtet die zirkulierende Heißluft und hebt die Feuchtkugeltemperatur an, wodurch das Grillgut schneller gart und saftiger bleibt.
Sweetspot (gleichmäßige Wärmestrahlung); Physikalisches Prinzip; ; ; Sweetspot, 10% Abweichung, Reflektion; Grillen: Physik; Der Sweetspot ist der Bereich, in dem die Wärmeintensität um maximal 10% vom Mittelwert abweicht. Seine Ausdehnung hängt von Grillbreite, Abstand und Reflexionsvermögen der Seitenwände ab.
Kritische Distanz (ohne Reflektion); Faustregel; ; ; 18,5%, Grillbreite, Wärmeintensität; Grillen: Berechnung; Ohne reflektierende Wände beträgt die kritische Distanz (bis zu der volle Wärmeintensität herrscht) 18,5% der Grillbreite.
Kritische Distanz (mit Reflektion); Faustregel; ; ; 37%, Grillbreite, Reflektor; Grillen: Berechnung; Mit reflektierenden Wänden beträgt die kritische Distanz 37% der Grillbreite.
Reflektierende Wände am Grill; Gerät/Modifikation; ; ; Alufolie, Reflektor, Sweetspot, 90%; Grillen: Technik; Reflektierende Wände (glänzend poliertes Metall, Alufolie) können den Sweetspot bis auf etwa 90% der Rostfläche erweitern.
Lötlampe als Handgrill – Vermeidung von Brennstoffgeschmack; Sicherheitshinweis; ; ; Lötlampe, blaue Flamme, gelbe Flamme, MAPP-Gas; Grillen: Technik (Lötlampe); Eine Lötlampe sollte nur mit blau brennender Flamme aufs Grillgut gerichtet werden. Gelbe Flamme signalisiert mangelhafte Verbrennung und hinterlässt unangenehmen Brennstoffgeschmack. MAPP-Gas ist geschmacksneutral.
Katalysatorofen (Gas); Gerät/Eigenschaft; ; ; Katalysator, Keramikplatte, Strahlung, 80% Wirkungsgrad; Grillen: Technik; Ein Gaskatalysatorofen verbrennt kein Gas, sondern lässt es an einem Katalysator reagieren. Die glühende Keramikplatte strahlt sehr gleichmäßige Wärme ab.
Sweetspot beim Elektrogrillofen (Oberhitze); Physikalisches Prinzip; ; ; Elektrogrill, Glühstäbe, Sweetspot, 5 mm + 0,44 × Abstand; Grillen: Berechnung; Bei Elektrogrillöfen mit Glühstäben liegt die Mitte des Sweetspots 5 mm unter dem Heizelement plus 44% des halben Stababstands.
Girardet-Methode (Fisch grillen/pochieren); Technik; Fisch; ; Girardet, Pochieren, Grillen, Weißwein, Verdunstungskälte; Grillen: Technik; Der Fisch liegt in kaltem Weißwein, die Haut bleibt trocken. Durch Verdunstungskälte des Alkohols bleibt die Temperatur niedrig genug für gleichmäßiges Pochieren; kurz bevor der Wein zu heiß wird, bräunt die Haut.
Braten am Drehspieß; Technik; Fleisch; ; Drehspieß, Rotation, Wärmestrahlung, Kruste; Braten; Das langsame Braten am Spieß ist ideal für große Stücke und ganze Tiere. Die Rotation sorgt für einheitliche Gar- und Kühlzeiten, die Kruste wird knusprig, das Innere saftig.
Wärmeabnahme mit Entfernung (Braten); Physikalisches Prinzip; Fleisch; ; Abstandsquadratgesetz, Wärmeintensität; Braten: Physik; Bei loderndem Feuer wirkt die Wärmeintensität im umgekehrten Quadrat zur Entfernung (bei Abstand ≥ mehreren Dutzend cm). Ist der Truthahn doppelt so weit entfernt, erhält er nur ein Viertel der Wärme.
Zweistufiges Braten (große Stücke); Technik; Fleisch; ; Vorgaren, Bräunen, Abstand, Feuer; Braten: Technik; Historische Bratenmeister garten ganze Tiere in großem Abstand zum Feuer und bräunten sie erst kurz vor dem Servieren nah an den Flammen.
Grillplatte (plancha) – Grundprinzip; Technik; ; ; Plancha, Temperatur, flache Stücke; Grillen a la plancha; Die Grillplatte arbeitet mit einer einzigen, sehr hohen Temperatur. Sie eignet sich für flache, dünne Stücke, die schnell garen.
Plancha – Ölschicht; Technik; ; ; Öl, Antihaft, Bacon, Film; Grillen a la plancha; Um gleichmäßiges Garen und Anhaften zu verhindern, verteilt man eine dünne Schicht Öl auf der gesamten Plancha-Fläche. Fettige Lebensmittel sorgen selbst für diesen Ölfilm.
Plancha – Polymerisation von Ölen; Technik; ; ; Polymerisation, klebriger Film, abschaben; Grillen a la plancha; Die intensive Hitze der Plancha polymerisiert Öle und Säfte zu einem klebrigen Film. Daher ist regelmäßiges Abschaben wichtig.
Plancha – Dampftrick für dickere Stücke; Technik; ; ; Wasser, Deckel, Dampf, Garen; Grillen a la plancha; Bei dickeren Stücken verspritzt man Wasser auf der Platte und setzt sofort einen Deckel auf. Der aufsteigende Wasserdampf beschleunigt das Garen.
Häufiges Wenden – Entdeckung (Harold McGee); Technik; Fleisch; ; Wenden, Garzeit, Gleichmäßigkeit; Häufiges Wenden; Zweimal Wenden ist besser als einmal, viermal besser als zweimal. Mehrfaches Wenden verkürzt die Garzeit.
Temperaturgefälle beim Braten; Physikalisches Prinzip; Fleisch; ; Temperaturgefälle, Oberfläche, Kern, Ungleichmäßigkeit; Häufiges Wenden; Je größer das Temperaturgefälle zwischen Oberfläche und Innerem, desto uneinheitlicher vollzieht sich der Garvorgang.
Abkühlung der gewendeten Seite; Physikalisches Prinzip; Fleisch; ; Wärmeleitung, Verdampfung, Konvektion; Häufiges Wenden; Nach dem Wenden sinkt die Oberflächentemperatur der fertigen Seite durch drei Effekte: Wärmeleitung ins Innere, Verdampfung und Konvektion.
Ruhen lassen von Fleisch; Technik; Fleisch; ; Ruhen, Restwärme, Kerntemperatur; Häufiges Wenden; Unmittelbar vor dem Idealpunkt nimmt man das Fleisch von der Platte und lässt die Restwärme noch kurz einwirken (Ruhen).
Häufiges Wenden – Temperaturglättung; Technik; Fleisch; ; Wenden, Temperaturschwankung, mittlere Temperatur; Häufiges Wenden; Ständiges Wenden begrenzt die Schwankungsbreite der Oberflächentemperatur und senkt die mittlere Temperatur, wodurch das Essen gleichmäßiger durchgart.
Optimale Wende-Intervall; Faustregel; Fleisch; ; 15-30 Sekunden, Wenden; Häufiges Wenden; Ein sinnvoller Wende-Intervall liegt bei etwa 15–30 Sekunden.
Grillplatte – Elektro vs. Gas; Gerät/Eigenschaft; ; ; Elektro, Gas, Wärmeabgabe, Leistung; Was ist in der Grillplatte los?; Elektrische Grillplatten werden etwas heißer als Gasplatten und eignen sich besser für gleichmäßige Wärmeabgabe. Gasbrenner erzielen mehr Leistung und halten die Temperatur selbst bei hoher Beanspruchung.
AccuTemp-Dampfgrillplatte; Gerät/Eigenschaft; ; ; AccuTemp, Dampf, latente Wärme, Kondensation; Was ist in der Grillplatte los?; Die AccuTemp-Platte wird mit Wasser betrieben. Das Wasser wird auf ca. 200°C erhitzt, bleibt aber unter Druck flüssig. Der entstehende Dampf heizt die Platte. Beim Auflegen kalter Zutaten kondensiert Dampf an den abgekühlten Stellen und setzt große Mengen latenter Wärme frei, die die Temperatur schnell wiederherstellt.
Wärmeleitung in Pfannen – Einfluss von Material und Dicke; Physikalisches Prinzip; ; ; Wärmeleitung, Pfannenboden, Dicke, Material; Sparen Sie an der Pfanne, nicht am Brenner; Je dicker der Pfannenboden, desto besser wandert die Wärme und desto einheitlicher ist die Temperatur an der Oberfläche. Die Dicke ist wichtiger als das Material.
Pfannenmaterialvergleich (Kupfer vs. Stahl); Faustregel; ; ; Kupfer, Edelstahl, Dicke, 28-fach; Sparen Sie an der Pfanne, nicht am Brenner; Für vergleichbare Leistung müsste eine Edelstahlpfanne mehr als 70 mm dick sein – eine Kupferpfanne von 2,5 mm reicht aus.
Aluminium als Pfannenmaterial; Gerät/Eigenschaft; ; ; Aluminium, 7 mm, Edelstahl, Kupfer; Sparen Sie an der Pfanne, nicht am Brenner; Eine leichte, 7 mm dicke Platte aus preisgünstigem Aluminium in Kombination mit einer dünnen Edelstahlpfanne bietet fast dasselbe Leistungsvermögen wie eine Kupferpfanne.
Entscheidend ist die Brennergröße; Faustregel; ; ; Brennergröße, Pfannendurchmesser, Gleichmäßigkeit; Sparen Sie an der Pfanne, nicht am Brenner; Ein richtig dimensionierter Brenner (so breit wie die Pfanne) erhitzt auch billige Pfannen gleichmäßig.
Sautieren – Ziel; Technik; ; ; schnelles Garen, kleinere Stücke, Wärmeleitung; Sautieren; Oberstes Ziel ist schnelles Garen. Kleinere Stücke sind besser, da sich Wärme im Inneren langsamer ausbreitet als an der Oberfläche.
Öl beim Sautieren – Funktion; Technik; ; ; Öl, Luftspalte, Wärmeleitung, Anhaften; Sautieren; Eine Ölschicht füllt Lücken zwischen Gargut und Pfanne und leitet Wärme deutlich schneller als Luft.
Sautieren – ausreichend Öl; Technik; ; ; Ölmenge, Verdünnung, Anhaften; Sautieren; Bei zu wenig Öl verdünnt sich der Ölfilm, die Stücke garen ungleichmäßig und können am Pfannenboden festhaften.
Sautieren – Wasser als Feind; Technik; ; ; Wasser, Temperatur, 100°C, Bräunung, Maillard; Sautieren; Wasser ist ein Feind des perfekten Sautés. Wenn sich wässrige Säfte ansammeln, sinkt die Temperatur auf maximal 100°C. Lebensmittel bräunen nicht, und es entwickeln sich keine Aromen der Maillard-Reaktion.
Brutzelgeräusch als Indikator; Technik; ; ; Brutzeln, Siedepunkt, Dampf, Problem; Sautieren; Das Sautieren sollte mit einem lauten Brutzeln beginnen – das Geräusch des Wassers, das rasch den Siedepunkt erreicht. Wenn Sie nichts hören, ist die Pfanne zu kalt, der Ölfilm zu dünn, der Brenner zu schwach oder die Pfanne zu voll.
Sauteuse – ideale Form; Gerät/Eigenschaft; ; ; Sauteuse, breit, flach, geneigter Rand; Sautieren: Technologie; Sauteusen sind breit und flach mit leicht geneigtem Rand. Diese Form maximiert die Wärmeübertragung und bietet eine große Oberfläche, damit Säfte schnell wegkochen können.
Pfannenmaterial für Sautieren; Gerät/Eigenschaft; ; ; Material, Beschichtung, Schütteln, Ausgleich; Sautieren: Technologie; Für das Sautieren ist das Pfannenmaterial weitgehend unwichtig, weil das häufige Schütteln der Zutaten heiße und kalte Stellen im Grunde ausgleicht.
Rütteln (Sautieren) – Funktion; Technik; ; ; Rütteln, Wärmeregulierung, Benetzen, Kontrolle; Sautieren: Rütteln; Das Bewegen der Pfanne in rüttelnden Kreisbewegungen reguliert die Wärme viel effizienter als ein Verstellen der Brennerregler. Es verhindert auch, dass sich die Pfanne überhitzt.
Wok – traditionelles Material; Gerät; ; ; Wok, Gusseisen, Karbonstahl, Patina; Pfannenrühren: Einleitung; Ein guter Wok wird an der Qualität seiner Patina gemessen. Sie bildet auf Gusseisen und Karbonstahl eine Schutzschicht, die Rostbildung und Anhaften verhindert.
wok hei (Aroma); Technik; ; ; wok hei, Maillard, Öl, Extremtemperaturen; Pfannenrühren: wok hei; wok hei ist das fast unbeschreibliche Aroma, das für Wokkochen charakteristisch ist. Es entsteht durch intensive Maillard-Reaktionen und teilweise Aufspaltung von Speiseöl bei Extremtemperaturen.
Wokbrenner – Leistung; Voraussetzung; ; ; Wokbrenner, hohe Leistung, Spitzentemperatur; Pfannenrühren: wok hei; Die Chemie funktioniert nur bei ausreichender Brennerleistung, welche die Oberfläche des Wok auf Spitzentemperaturen anheben kann.
Drei Garzonen beim Wok; Physikalisches Prinzip; ; ; Konduktionszone, Kondensationszone, Konvektionszone; Pfannenrühren: Physik; Das Wokkuchen lässt sich in drei Garzonen unterteilen: die Konduktionszone (direkter Kontakt, heißeste), die Kondensationszone (Dampfschicht, Kondensation gibt Energie frei) und die Konvektionszone (trockene Heißluft, langsam).
bao (echtes Pfannenrühren); Technik; ; ; bao, glühender Wok, keine Zeitverzögerung; Pfannenrühren: bao; Bei der bao-Technik muss der Wok so heiß sein, dass er dunkelrot glüht. In sehr rascher Folge gibt der Koch Öl, Gewürze und Fleisch hinein. Für langes Zögern bleibt keine Zeit, denn das Öl fängt Feuer, und die Zutaten brennen sofort an.
bao – Verhinderung von Dünsten; Technik; ; ; bao, Verdampfung, kein Saftaustritt; Pfannenrühren: bao; Durch blitzartiges Verdampfen des Wassers in den Lebensmitteln können keine Säfte austreten, die sich am Boden ansammeln und das Essen „dünsten“ würden.
bao – Temperaturregulierung; Technik; ; ; bao, Rütteln, Hochschleudern, Dampfschwaden; Pfannenrühren: bao; Ein bao-Experte kontrolliert alles durch ständiges Rütteln in einer Kreisbewegung, sammelt den Inhalt und schleudert ihn in die Dampfschwaden über dem Wok, die im Vergleich zum glühenden Metall kühl sind.
bao – richtige Stückgröße; Faustregel; ; ; bao, kleine Stücke, Durchgaren, Verbrennen; Pfannenrühren: bao; Die richtige Größe der Stücke ist entscheidend für den Erfolg der bao-Technik. Sie müssen klein genug sein, um vollständig durchzugaren, bevor die Außenseite verbrennt.
Kantonesischer vs. nordchinesischer Wok; Gerät; ; ; Wok, Griff, Kelle, Rückwand; Pfannenrühren: Technik; Der nordchinesische Wok hat einen langen Griff, der das ruckartige Vorstoßen und Zurückziehen erleichtert. Der kantonesische Wok hat keinen Griff; der Koch schiebt die Zutaten mit einer Kelle zusammen und schleudert sie von der gewölbten Rückwand in die Höhe.
Velveting (Fleisch mit Maisstärke überziehen); Technik; Fleisch, Fisch; ; Velveting, Maisstärke, Schutz; Pfannenrühren: Grundtechniken; Fleisch, Fisch und Meeresfrüchte werden vor dem Garen im Wok oft mit einem Maisstärkeüberzug versehen – dies wird als „velveting“ bezeichnet.
chao (Sautieren mit Deckel im Wok); Technik; ; ; chao, mittlere Hitze, Deckel, Dämpfen; Pfannenrühren: chao; Die chao-Technik ist eher mit dem Sautieren bei geschlossenem Deckel verwandt. Sie kommt ohne ungeheure Wärme der bao-Methode aus und eignet sich für Brenner mit bescheidener Leistung.
Glasieren (westliches Sautieren mit Deckel); Technik; Gemüse; ; Glasieren, kalte Pfanne, Butter, eigener Saft; Sautieren mit Deckel; Beim Glasieren kommen die Zutaten mit etwas Butter oder Fett in eine kalte, tiefe Pfanne und werden zugedeckt bei mittlerer Temperatur erhitzt. In den siedenden und dampfenden Flüssigkeiten garen die Stücke im eigenen Sud.
Glasieren – Sauce aus dem Sud; Technik; Gemüse; ; Glasieren, Sud reduzieren, Emulsion, Glasur; Sautieren mit Deckel; Wenn das Gemüse fast gar ist, nimmt man den Deckel ab, gießt die Flüssigkeit ab und reduziert den enthaltenen natürlichen Zucker durch Einkochen. Durch die Turbulenzen beim Aufkochen emulgieren die Säfte mit Butterfett oder Öl und bilden eine fette, süße Glasur.
Butter – Schmelzbereich; Physikalisches Prinzip; Butter; ; Butter, 28°C, 36°C, Körpertemperatur; Sautieren mit Deckel: Glasieren; Butter beginnt bei 28°C zu schmelzen und ist bei 36°C ganz geschmolzen. Durch den geringen Schmelzbereich etwas unterhalb der menschlichen Körpertemperatur zergeht sie buchstäblich auf der Zunge.
Dampfkondensation beim Glasieren; Physikalisches Prinzip; Gemüse; ; Dampf, Kondensation, 92°C, Gewebe, weich; Sautieren mit Deckel: Glasieren; Schnelles Kondensieren von Dampf hebt die Oberflächentemperatur über 92°C, heiß genug, dass Pflanzengewebe weich wird und Säfte heraussickern.
Kochen (à l'anglaise); Technik; Gemüse; ; Kochen, Wasser, grüne Bohnen; Kochen; à l'anglaise bedeutet „nach englischer Art in Wasser gekocht“. Es ist eine klassische und schnelle Garmethode, besonders für Gemüse.
Vorteil von siedendem Wasser (nicht nur Temperatur); Physikalisches Prinzip; ; ; Sieden, Turbulenz, Wärmeübertragung, 2-3 mal schneller; Kochen; Siedendes Wasser ist erheblich turbulenter. Durch die chaotischen Bewegungen überträgt sich Wärme zwei- oder dreimal schneller auf die Oberfläche der Lebensmittel als in nicht bewegtem Wasser, das nur wenige Grad kälter ist.
Entstehung einer Dampfblase; Physikalisches Prinzip; ; ; Dampfblase, Risse, Auftrieb, Konvektion; Kochen: Physik; Die größte Blase beginnt klein in einem Riss. Dampf bläst sie auf, bis der Auftrieb den Widerstand überwindet. Bei überfülltem Topf bilden sich kühle Stellen.
Farbveränderung beim Blanchieren (grünes Gemüse); Chemie; Grüne Bohnen; ; Blanchieren, Chlorophyll, Kollaps, leuchtender; Kochen: Chemie; Siedendes Wasser erhitzt die Bohnenoberfläche und bringt die Wände des Labyrinths zum Platzen; es kollabiert und füllt sich mit Wasser. Nun wird mehr Licht von den Pigmenten zurückgeworfen, weshalb die blanchierte Bohne einen helleren und leuchtenderen Farbton annimmt.
Ekman-Transport beim Pochieren von Eiern; Physikalisches Prinzip; Eier; ; Ekman-Transport, Rühren, kreisendes Wasser, Mitte; Kochen: Eier; Rührt man vor dem Hineingeben des Eies das Wasser kräftig um, sorgt der Ekman-Transport dafür, dass sich das Ei zu einer kompakten Masse in der Topfmitte sammelt.
Pochieren von Eiern – Umrühren als Trick; Technik; Eier; ; Pochieren, Ei, umrühren, kreisen; Kochen: Eier; Für ein gut pochiertes Ei rührt man zunächst das sprudelnde Wasser gut durch, bis es rasch im Topf kreist. Erst dann wird das Ei hineingeschlagen.
Sieden von dickflüssigen Saucen (z.B. Ragout); Physikalisches Prinzip; Sauce; ; viskose Sauce, heiße Stellen, Dampfsäulen, 110-130°C; Kochen: Saucen; In einer viskosen Sauce findet natürliche Konvektion so langsam statt, dass sich heiße Stellen am Boden bilden. Dampfblasen formieren sich zu Säulen mit großen, trägen Blasen, die spritzen. Das verbliebene Wasser überhitzt auf 110–130°C – das reicht für Anbrennen.
Verhinderung von Anbrennen bei dickflüssigen Saucen; Technik; Sauce; ; Umrühren, Konvektion, Hitze reduzieren; Kochen: Saucen; Um das Anbrennen zu verhindern, bleiben zwei Möglichkeiten: Sie erhöhen die Konvektion durch ständiges Umrühren, oder Sie reduzieren die Hitze, damit der Topfboden nicht so heiß wird.
Dämpfen – traditionelle Anwendung; Technik; ; ; Dämpfen, Westen, Asien, ganzer Fisch; Dämpfen; Im Westen dämpft man kleine Gemüsewürfel oder dünne Fischscheiben, in Asien eher Fleisch, Fisch, Meeresfrüchte und Teigtaschen. Eine bemerkenswerte Ausnahme ist der ganze Fisch, da sein zartes Fleisch bei Berührung auseinanderfallen würde.
Warum Dämpfen oft langsamer ist als Kochen; Physikalisches Prinzip; ; ; Dämpfen, Kondensatfilm, Hitzeschild, Luftbarriere; Dämpfen; Die Kondensation bremst den Garprozess: Winzige Kondensationströpfchen schließen sich zu einer dünnen Wasserschicht zusammen (Kondensatfilm), die wie ein Hitzeschild wirkt. Zudem entweicht Luft aus den Zellen und bildet eine isolierende Luftbarriere.
Dämpfen vs. Kochen – Geschmackserhalt; Vorteil; Gemüse; ; Dämpfen, kein Auswaschen, besserer Geschmack; Dämpfen; Auch wenn Dämpfen etwas langsamer ist, überzeugt dampfblanchiertes Gemüse oft mit besserem Aussehen und Geschmack, weil die wasserlöslichen Inhaltsstoffe nicht ausgeschwemmt werden.
Dampf vs. Dunst; Definition; ; ; Dampf, unsichtbar, latente Wärme; Dunst, Nebel, Tröpfchen; Dämpfen; Dampf ist unsichtbar und überträgt große Mengen latenter Wärme. Dunst ist ein Gemisch aus Luft und schwebenden Wassertröpfchen (10–15 µm), das Wärme kaum besser überträgt als einfache Heißluft.
Erfindung des Einmachens (Nicholas Appert); Geschichte; ; ; Appert, Napoleon, 1809/1810, Glasflasche; Einmachen: Geschichte; Nicholas Appert füllte eine Glasflasche mit Lebensmitteln, setzte einen Korken auf und erhitzte sie dann so lange, wie es ihm für das Haltbarmachen notwendig erschien.
Blechdose (Peter Durand); Geschichte; ; ; Durand, 1810, Weißblechdose; Einmachen: Geschichte; Der größte Unterschied zwischen französischer Appertisation und englischem Canning bestand darin, dass Durand Weißblechdosen anstelle von Glasgefäßen benutzte.
Entdeckung der Mikroorganismen als Verderbsursache; Geschichte; ; ; Pasteur, Mikroorganismen, 50 Jahre später; Einmachen: Geschichte; Damals wusste niemand, warum Erhitzen und luftdichtes Verschließen funktionierten. Es sollte ein halbes Jahrhundert dauern, bis Louis Pasteur Mikroorganismen als Hauptverursacher für den Verderb von Nahrungsmitteln ausmachte.
Clostridium botulinum; Mikrobiologie; ; ; Clostridium botulinum, USDA, 1915, Sporen; Einmachen: Geschichte; 1915 identifizierten Wissenschaftler das Bakterium Clostridium botulinum, das ein normales Erhitzen übersteht.
Druckkonservierung; Technik; Fleisch, Fisch; ; Druckkonservierung, pH>4,6, Clostridium botulinum; Einmachen: Geschichte; Um das Bakterium unschädlich zu machen, erfand man die Druckkonservierung – der einzig sichere Weg für das Eindosen von Fleisch, Fisch und Lebensmitteln mit geringem Säuregehalt.
pH-Wert als Entscheidungskriterium; Messgröße; ; ; pH-Wert, 4,6, Einkochen, Druckkonservierung; Einmachen: Grundlagen; Ausschlaggebend ist der Säuregehalt. Da die Temperatur beim Einkochen vergleichsweise niedrig ist, sollte der pH-Wert unter 4,6 liegen; ansonsten ist die Druckkonservierung die einzig sichere Option.
pH-Wert von Obst; Messgröße; Obst; ; pH-Wert, unter 4,6, Ausnahmen: Tomaten, Feigen; Einmachen: Grundlagen; Der pH-Wert von Obst unterschreitet diese Schwelle häufig, allerdings gilt das nicht unbedingt für Tomaten und Feigen, die deshalb getestet werden sollten.
pH-Wert senken für Einkochen; Technik; ; ; Essig, Zitronensaft, Ascorbinsäure; Einmachen: Grundlagen; Einen pH-Wert von 4,6 oder etwas mehr können Sie durch Zugabe von Essig, Zitronensaft oder auch Vitamin C auf ein geeignetes Niveau senken.
Einmachen von Pasta in säuerlichem Ragout; Warnung; Pasta; ; Pasta, pH-Wert, unsicher; Einmachen: Grundlagen; Das Einkochen von Pasta in säuerlichem Tomatenragout wäre unsicher, denn der pH-Wert der Nudeln ist zu hoch.
Weckglas – Befüllung; Technik; ; ; Weckglas, Abstand, 7 mm, 13 mm; Einmachen: Weckgläser; Bei zu niedriger Befüllung reicht der Unterdruck nicht für einen optimalen Luftabschluss, während überfüllte Gläser vielleicht überkochen und die Versiegelung beeinträchtigen.
Vakuumieren von Weckgläsern (Alternative zur Hitze); Technik; ; ; Vakuumkammer, Deckel, Atmosphärendruck; Einmachen: Weckgläser; Sie können auch eine Vakuumkammer verwenden. Beim Evakuieren der Kammer entweicht Luft aus dem Zwischenraum, nach Wiederherstellung des Kammerdrucks wird der Deckel vom Gewicht der Atmosphäre fest gegen das Glas gepresst.
Vorgaren vs. rohes Einmachen; Technik; ; ; Vorgaren, Enzyme, Farbe, roh; Einmachen: Grundlagen; Als der bessere Weg erweist sich jedoch fast immer das Vorgaren. Rohe Lebensmittel brauchen viel Zeit, um sich im Glas zu erwärmen, und werden dabei von natürlichen Enzymen verfärbt.
Mindeststerilisationszeiten (Einkochen, 100°C); Messgröße; ; ; 5 min, 10 min, 15 min, Höhe; Einmachen: Sterilisation; Mindeststerilisationszeiten: 0–300 m: 5 min; 300–1830 m: 10 min; über 1830 m: 15 min.
Schimmel auf Marmeladen/Gelees; Gefahr; Marmelade, Gelee; ; Schimmel, Mykotoxine, Pilzfäden, Krebs; Einmachen: Gefahren; Wenn Sie obenauf Schimmel sehen, ist der Inhalt verdorben. Die Vorstellung, er lasse sich einfach abkratzen, gehört ins Reich der Mythen, denn er bildet mikroskopisch kleine Fäden, die wurzelartig unter der Oberfläche eindringen und Mykotoxine produzieren.
Frigi-Canning (E. F. Kohnan, 1960); Technik; Gemüse; ; Frigi-Canning, halbes Einmachen, Pasteurisierung, Kühlung; Einmachen: Frigi-Canning; Für das sogenannte Frigi-Canning erhitzte Kohnan die Gläser im Wasserbad gerade heiß genug, um die meisten vegetativen Bakterien abzutöten und die Enzymtätigkeit zu stoppen. Durch die fehlende Sterilisation müssen die Gläser gekühlt werden.
Haltbarkeit von Frigi-Canning-Gemüse; Lagerung; Gemüse; ; Frigi-Canning, mehrere Wochen bis Monate, Kühlschrank; Einmachen: Frigi-Canning; Bei richtiger Ausführung hält sich Gemüse mehrere Wochen bis Monate im Kühlschrank und bietet fast alle Eigenschaften von frisch zubereiteten Speisen.
Pasteurisierung (Louis Pasteur); Geschichte; Wein; ; Pasteur, Napoleon III., 1864, unter Siedepunkt; Einmachen: Pasteurisierung; Pasteur entwickelte ein Verfahren, das seinen Namen unsterblich machen sollte: die Erhitzung auf eine bestimmte Temperatur für eine bestimmte Zeit, um die Anzahl schädlicher Mikroorganismen im Wein stark zu reduzieren. Anders als beim Einkochen lagen die Temperaturen deutlich unter dem Siedepunkt.
