Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Kartoffelpüree – Gummiartige Textur vermeiden; Technik; Kartoffeln; ; Stärke, Rückläufige Reaktion, Fett; Stärke; Kühlt Kartoffelpüree ab, ordnen sich Stärkemoleküle neu an (rückläufige Reaktion) – das Püree wird gummiartig. Reichlich Fett (Butter) umhüllt die Stärkemoleküle und verhindert dies.
Erwärmen und Abkühlen von Stärke – Retrograde Reaktion; Technik; Kartoffeln, Reis; ; Pektinmethylesterase, Gel, Stabilität; Stärke; Erhitzen stärkehaltiger Lebensmittel auf 60–90°C, dann abkühlen – die retrograde Reaktion der Stärke macht das Produkt fester, weniger zerfallend, ideal für Pommes purée oder Chips.
Enzyme – Braunwerden von Obst; Chemie; Äpfel, Avocados; ; Polyphenoloxidase, Ascorbinsäure, Zitronensaft; Enzyme; Beim Verletzen von Obst vermischen sich Polyphenoloxidasen mit Sauerstoff und bilden braune Pigmente (Abwehrmechanismus). Ascorbinsäure (Vitamin C) oder Zitronensaft hemmen diese Reaktion.
Klimakterische vs. nichtklimakterische Früchte; Biologie; Äpfel, Bananen, Trauben, Ananas; ; Äthylen, Nachreife; Enzyme; Klimakterische Früchte (Äpfel, Bananen) reifen nach der Ernte nach, beschleunigt durch Wärme oder Äthylen. Nichtklimakterische Früchte (Trauben, Ananas) reifen nach der Ernte nicht mehr nach.
Äthylen – Reifung beschleunigen; Technik; Früchte; ; Äthylen, Papiertüte, Reifung; Enzyme; Unreife Früchte mit einem Apfel in eine Papiertüte legen (nicht luftdicht) – das ausgestoßene Äthylen beschleunigt die Reifung.
Sous-vide-Garen von Pflanzen – Vorteile; Technik; Obst, Gemüse; ; Vakuum, Aromenerhalt, Temperaturkontrolle; Sous-vide-Garen; Sous-vide verhindert Verwässerung von Aromen, weil der ganze Saft im Beutel bleibt. Gartemperaturen unter 100°C vergrößern das Zeitfenster für die ideale Garstufe.
Sous-vide-Garen – Temperatur für Pflanzen; Technik; Gemüse; ; 60°C, 90°C, Zellaufbruch; Sous-vide-Garen; Ab 60°C platzen Vakuolen, Zellen verlieren Druck und fallen zusammen. Für hartes, stärkehaltiges Gemüse sind 90°C oder höher nötig – erst dann lösen sich Adhäsionsmoleküle in den Zellwänden.
Sous-vide-Blanchieren von Gemüse; Technik; Brokkoli, Rosenkohl, Blumenkohl; ; Vakuum, Aromenerhalt, Oxidation; Sous-vide-Garen: Varianten; Vakuumverpackung verhindert Oxidation und das Ausschwemmen von Geschmacksstoffen. Nachteil: Kohlarten setzen kräftige Aromen frei, die nicht entweichen können – Beutel sofort öffnen.
Kartoffelpüree – Robuchon-Methode; Technik; Kartoffeln; ; La Ratte, Passiermühle, Butter, seidig; Kartoffelpürees; Für seidig-cremiges Püree (französische purée de pommes de terre) festkochende Kartoffeln (Sorte La Ratte oder Charlotte) verwenden. Kartoffeln durch ein Sieb streichen (nie Mixer), reichlich Fett zugeben.
Kartoffelaroma – Intensivierung; Technik; Kartoffeln; ; Schaleninfusion, Instant-Flocken, Röstaromen; Kartoffelpürees; Kartoffelaroma intensivieren: 1. Schalen in Flüssigkeit infundieren, 2. Instant-Kartoffelflocken in Butter goldbraun sautieren und als Pulver zugeben.
Druckgaren von Pflanzen – Vorteile; Technik; Hülsenfrüchte, Nüsse, Quitten; ; Schnellkochtopf, 120°C, Zeitersparnis; Druckgaren; Im Schnellkochtopf werden 120°C/250°F erreicht. Geeignet für Bohnen, Nüsse, Quitten (Farbentfaltung durch Anthocyane), karamellisierte Zwiebeln (mit Natron als Katalysator – 20 min statt Stunden).
Mikrowelle – Vorteile für Gemüse; Technik; Kräuter, Wurzelgemüse; ; gleichmäßiges Trocknen, Hotspots, vakuumiert; Garen in der Mikrowelle; Mikrowellenherde haben einen schlechten Ruf wegen ungleichmäßiger Hitze. Für Gemüse ist das unproblematisch. Ideal zum Trocknen von Kräutern (mit Öl einpinseln) und für vakuumierte Artischocken (ca. 7 min).
Frittieren – Vorteil gegenüber Heißluft; Physikalisches Prinzip; ; ; Wärmeleitung, Dampf, gleichmäßiges Garen; Frittieren; Öl leitet Wärme viel besser als Luft und kann auf über 100°C erhitzt werden. Der entstehende Dampf hält das Öl am Gargut in Bewegung – sehr gleichmäßiges Garen.
Pommes frites – Optimierung (Blumenthal); Technik; Kartoffeln; ; dreifach frittiert, Vakuumtrocknung, Pektingase; Frittieren: Pommes; Heston Blumenthal: Kartoffeln kochen, vakuumtrocknen, bei 130°C frittieren, erneut vakuumtrocknen, bei 200°C frittieren. Polnische Forschung: Pektingase verbessert Textur. Modernist Cuisine: Ultraschallbad + Stärkeinfusion.
Konservieren – Methodenübersicht; Technik; Obst, Gemüse; ; Dörren, Salzen, Einlegen, Fermentieren, Einkochen; Konservieren; Methoden: Wasserentzug (Dörren, Vakuumieren), chemisch (Salzen, Zuckern), pH-Senkung (Essig), Fermentation (Säureproduktion durch Bakterien), Sterilisation (Einkochen), Kälte (Einfrieren).
Schockerhitzen – Verlängerung der Haltbarkeit; Technik; Blattsalat, Beeren; ; 37-45°C, Enzyminaktivierung, Frische; Konservieren: Schockerhitzen; Frisches Obst und Gemüse 90 Sekunden in 50°C heißem Wasser tauchen – Blattsalat hält sich danach zwei Wochen bei 5°C ohne Braunwerden. Wirkungsweise: Enzyme werden inaktiviert oder Mikroorganismen abgetötet.
Räuchern von Gemüse; Technik; Auberginen, Chilis, Salat; ; Kalträuchern, Heißräuchern, 90°C; Räuchern; Kalträuchern bei Kühlschranktemperatur – Rauch lagert sich auf der Oberfläche ab, ohne die Textur zu verändern. Heißräuchern erfordert 90°C (Pflanzen werden sonst nicht weich) – hohe Luftfeuchtigkeit ist nötig (sonst trocknet Oberfläche aus).
Dehydratisieren – Textursteuerung; Technik; Obst, Gemüse; ; Zucker, elastisch; Quellstoffe, knusprig; Dehydratisieren; Hoher Zuckergehalt macht Dörrobst elastisch und zäh (Zucker bindet Wasser). Für knusprige Textur Quellstoffe (Pektin, Maltodextrin, Stärke) zugeben – sie binden Wasser nicht fest und ziehen keine Luftfeuchtigkeit.
Gefriertrocknung von Pflanzen – Vorteil; Technik; Tomaten, Pilze; ; Sublimation, Formerhalt, Aromakonzentration; Gefriertrocknung; Eis sublimiert direkt zu Dampf, ohne flüssige Phase – Zellen kollabieren nicht. Gefriergetrocknete Tomaten schmecken völlig anders als sonnengetrocknete und sehen frischen Tomaten erstaunlich ähnlich.
Texturveränderung durch Gefrieren; Technik; Rote Bete, Brombeeren, Mais; ; Flüssigstickstoff, spröde, zertrümmern; Texturen verändern; Mit Flüssigstickstoff gefrorene Rote Bete wird glasig-spröde und lässt sich mit dem Hammer zerschlagen. Brombeeren zerfallen in Einzelfruchtzellen. Tiefgefrorenen Mais kann man zu Grieß reiben.
Tiefkühlgemüse – Aromavorteil; Grundlagen; Erbsen, Mais; ; Enzyme, Zucker, Stärke; Texturen verändern; Unmittelbar nach der Ernte wandeln Enzyme den Zucker von Erbsen in fade Stärke um. Tiefkühlware wird oft direkt nach der Ernte verarbeitet – sie ist süßer und aromatischer als „frische“ Ware aus dem Supermarkt.
Mahlen – Mehl aus Nüssen und Saaten; Technik; Nüsse, Samen; ; Nussbutter, Tahini, fett, cremig; Texturen verändern: Mahlen; Aus ölhaltigen Pflanzen entsteht beim Mahlen eine cremige Masse (Nussbutter, Tahini). Kein Unterschied zwischen Nüssen und Saaten.
Teigwaren – Gel aus Stärke und Protein; Grundlagen; Pasta; ; Gluten, Eiweiß, Bissfestigkeit; Teigwaren; Teigwaren sind ein spezielles Gel aus Getreidemehl, zusammengehalten von Stärke und Protein (Gluten). Bei zu wenig Protein im Mehl wird Eigelb als zusätzliches Bindemittel zugegeben.
Komprimieren von Obst und Gemüse (Vakuum); Technik; Melone, Gurke, Wassermelone; ; Vakuumkammer, Kollaps, dichter, geschmeidig; Komprimiertes und imprägniertes Obst; Beim Vakuumieren kollabiert Pflanzengewebe – das Material wird dunkler, dichter und geschmeidiger, saftiger, ohne Geschmacksveränderung. Am besten mit porösen Früchten (Wassermelone).
Imprägnieren von Obst (Vakuum); Technik; Äpfel, Melone, Tomaten; ; Unterdruck, Flüssigkeit, Zellwände platzen; Komprimiertes und imprägniertes Obst; Im Vakuum schwellen Pflanzenporen an, Zellwände platzen. Beim Lösen des Vakuums presst der steigende Druck Flüssigkeit in die Zellen – das Material wird saftiger und aromatischer.
Wassermelone als Fleischersatz; Illusionismus; Wassermelone; ; dehydratisieren, lederartig, salzen, pflanzliches „Steak“; Kulinarischer Illusionismus; Wassermelone in Scheiben schneiden, in Salzlake vakuumieren, dehydratisieren – entsteht eine lederartige, fleischähnliche Textur. Optisch täuschend, geschmacklich Melone.
Gemüsekohle (Maniok); Illusionismus; Maniok; ; Tintenfischtinte, kohlenartig, essbare Asche; Kulinarischer Illusionismus; Maniokwürfel in Weißfischfond mit Tintenfischtinte köcheln – entstehen schwarze, kohleähnliche Stücke, die essbar sind und überraschend schmecken.
Blumenkohl-Couscous; Illusionismus; Blumenkohl; ; Microplane-Reibe, fein gerieben, Grieß; Kulinarischer Illusionismus; Roher Blumenkohl mit einer scharfen Microplane-Reibe so fein reiben, dass er wie Weizengrieß (Couscous) aussieht. Ferran Adrià popularisierte diese Technik.
Pilzfäden (Kräuterseitlinge); Illusionismus; Kräuterseitlinge; ; sous-vide, 90°C, fasern, nudelähnlich; Kulinarischer Illusionismus; Kräuterseitlinge mit Öl vakuumieren, 4 h bei 90°C sous-vide garen, dann in einzelne Fasern aufteilen – nudelähnliche Textur.
Schwarzer Bohnensprossen-Risotto; Illusionismus; Bohnensprossen; ; Tintenfisch, Gelee, reisähnlich; Kulinarischer Illusionismus; Bohnensprossen in reiskorngroße Stücke schneiden, sautieren, mit Tintenfischfond und Tintenfischgelee anrichten – täuschend echter Risotto (schwarz eingefärbt).
Kartoffel-Kiesel (Aduriz); Illusionismus; Kartoffeln; ; Kaolin, Laktose, Pflanzenasche, essbare Steine; Kulinarischer Illusionismus; Babykartoffeln kochen, in Kaolin-Laktose-Asche-Mischung wenden, trocknen – sehen aus wie Kieselsteine, schmecken nach Kartoffeln mit Knoblauch-Aioli.
Gefrorene weiße Trüffel aus Sojamilch und Parmesan; Illusionismus; ; ; Sojamilch, Parmesan, Mannitol, Goldpulver; Kulinarischer Illusionismus; Parmesanschaum in Trüffelform spritzen, in flüssigem Stickstoff gefrieren, in goldfarbenem geschmolzenem Mannitol schwenken – sehen aus wie weiße Trüffeln, schmecken nach Parmesan.
