Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Trocknen – Wasseraktivität; Messgröße; ; ; Wasseraktivität, aw, Bakterien, 0,91; Trocknen: Grundlagen; Die Wasseraktivität (aw) ist ein besseres Maß für Trockenheit als der Feuchtigkeitsgehalt. Reines Wasser: 1,0. Die meisten Bakterien wachsen ab aw <0,91 nicht mehr. Hefen gedeihen meist nicht unter 0,87. Rosinen: 0,76.
Gebundenes Wasser (vicinales Wasser); Glossar; ; ; vicinales Wasser, hygroskopisch, chemische Bindung; Trocknen: Grundlagen; Ein Teil des Wassers in Nahrungsmitteln ist chemisch an Moleküle gebunden (vicinales Wasser) und kann nicht diffundieren oder verdunsten. Hygroskopische Stoffe (Zucker, Salze) binden Wasser besonders stark.
Dörrschrank – Funktionsweise; Gerät; ; ; 40-70°C, Ventilator, perforierte Einschübe; Trocknen: Dörrschrank; Ein Dörrschrank erwärmt die Luft auf 40–70°C und wälzt sie mit einem Ventilator um. Die perforierten Einschübe sorgen für einen kräftigen Luftstrom. Geeignet für Obst, Gemüse, Kräuter, Fleisch (nach Pökeln).
Trocknen – optimale Temperatur; Faustregel; ; ; Feuchtkugeltemperatur, Bakterien, >52°C; Trocknen: Praxis; Die Oberflächentemperatur des Trocknungsguts (Feuchtkugeltemperatur) muss über 52°C/126°F bleiben, um Bakterienwachstum zu stoppen. Niedrigere Temperaturen ergeben bessere Aromen, aber verlängern die Trocknungszeit.
Vakuumtrockner (Exsikkator); Gerät; ; ; Vakuum, Exsikkator, Siebplatte, Vakuumpumpe; Trocknen: Vakuumtrockner; Ein Vakuumexsikkator besteht aus einer kuppelförmigen Kammer mit Siebplatte und Ventil für die Vakuumpumpe. Bei niedrigem Druck siedet Wasser bereits bei Raumtemperatur – Nahrungsmittel trocknen schnell ohne Hitze.
Vakuumexsikkator – Anwendung; Technik; Kräuter, Nudeln; ; Vakuum, Raumtemperatur, trocknen; Trocknen: Vakuumtrockner; Geeignet zum schnellen Trocknen von Nudeln, zarten Kräutern und empfindlichen Nahrungsmitteln. Auch zum Lagern bereits getrockneter Lebensmittel (mit Kieselgel als Trockenmittel).
Sprühtrockner – Funktionsweise; Gerät; ; ; Zerstäuberdüse, Heißluft, 40-60% Feststoffe, 180-250 µm; Trocknen: Sprühtrockner; Eine Flüssigkeit mit 40–60% Feststoffen wird unter Hochdruck durch eine Zerstäuberdüse in eine heiße Kammer gesprüht. Die winzigen Tröpfchen (180–250 µm) trocknen extrem schnell zu einem feinen Pulver.
Sprühtrockner – Temperatur; Physikalisches Prinzip; ; ; 90-300°C Eintritt, 40°C Austritt, Verdunstungskühlung; Trocknen: Sprühtrockner; Die Eintrittstemperatur der Heißluft liegt bei 90–300°C. Der Flüssigkeitsnebel kühlt die Kammerluft auf ca. 100°C ab. Die verdunstende Feuchtigkeit kühlt die Tröpfchen weiter auf ca. 40°C – das Pulver wird nicht durch Hitze geschädigt.
Gefriertrocknung (Lyophilisation) – Prinzip; Technik; ; ; Sublimation, Vakuum, Eis → Dampf; Trocknen: Lyophilisieren; Gefrorene Nahrungsmittel werden unter hohem Vakuum (<6 mbar) langsam erwärmt. Das gefrorene Wasser sublimiert direkt von Eis zu Dampf, ohne zu schmelzen. Die empfindliche Mikrostruktur bleibt weitgehend erhalten.
Gefriertrocknung – kritische Temperatur (Kollapstemperatur); Messgröße; ; ; Kollapstemperatur, Glasübergang, Struktur; Trocknen: Gefriertrocknung; Die kritische Temperatur (Kollapstemperatur) ist die Temperatur, oberhalb derer nicht gefrorenes Wasser zu fließen beginnt und die Mikrostruktur irreparabel zerstört wird. Fleisch: -12°C, Tomaten: -41°C, Cheddar: -24°C.
Gefriertrocknung – Vorgefriertemperaturen; Tabelle; ; ; -45°C bis -15°C, je nach Zutat; Trocknen: Gefriertrocknung; Vorgefriertemperaturen: Früchte -45°C, Eier -40°C, Eiscreme -35°C, Gemüse -30°C, Fleisch -25°C, Nudeln/Getreide -20°C, Fonds/Brühen -20°C, Fisch/Meeresfrüchte -15°C.
Gefriergetrockneter Rinder-Gravy – Rezept; Rezept; Rind; ; Rindergehacktes, Fond, Gelatine, gefriertrocknen; Trocknen: Beispiel; Rindergehacktes bräunen, Gemüse im Rinderfett bräunen, mit Rotwein und Weinbrand deglacieren, mit Fond aufkochen, 1 h im Schnellkochtopf garen, zentrifugieren, mit Gelatine binden, einfrieren, auftauen lassen (klärt), dann gefriertrocknen.
Flüssigstickstoff – Siedepunkt; Messgröße; ; ; -196°C, -321°F, LN2; Gefrieren mit Cryogenen: Grundlagen; Flüssigstickstoff siedet bei -196°C/-321°F. Er ist klar, dünnflüssig und chemisch nicht reaktiv. Er eignet sich hervorragend zum extrem schnellen Gefrieren von Lebensmitteln.
Flüssigstickstoff – Leidenfrost-Effekt; Physikalisches Prinzip; ; ; Leidenfrost, Dampffilm, Schutz; Gefrieren mit Cryogenen: Sicherheit; Aufgrund des Leidenfrost-Phänomens prallen Flüssigstickstoff-Tröpfchen bisweilen harmlos von der Haut ab, weil ein isolierender Dampffilm entsteht. Das gilt nur für kurzen Kontakt – längere Exposition oder eingeschlossene Flüssigkeit führt zu Erfrierungen.
Cryopochieren; Technik; ; ; Flüssigstickstoff, eintauchen, harte Kruste; Gefrieren mit Cryogenen: Technik; Das Eintauchen in Flüssigstickstoff gefriert die Außenseite eines Nahrungsmittels extrem schnell – analog zum Pochieren in heißem Wasser. Bei Schaum entsteht eine harte Kruste, während der Kern noch weich bleibt (kurzes Eintauchen).
Cryopulverisieren; Technik; Kräuter; ; Flüssigstickstoff, mahlen, Kaffeemühle, Pulver; Gefrieren mit Cryogenen: Technik; Frische Kräuter mit Flüssigstickstoff übergießen (gefrieren), in einer Kaffeemühle mahlen – evtl. etwas Flüssigstickstoff zugeben, um sie gefroren zu halten. Das Ergebnis ist ein feines Pulver, keine Paste.
Cryoreiben; Technik; Obst, Gemüse; ; Flüssigstickstoff, gefrieren, reiben, Flocken; Gefrieren mit Cryogenen: Technik; Weiche Nahrungsmittel (Steinpilze, Bananen) in Flüssigstickstoff tauchen, bis sie vollständig durchgefroren sind, dann mit einer Feinreibe reiben. Die gefrorenen Flocken schmelzen sofort im Mund.
Cryozerschmettern; Technik; Beeren, Zitrusfrüchte; ; Flüssigstickstoff, zerschmettern, Steinfrüchtchen; Gefrieren mit Cryogenen: Technik; Beeren mit Flüssigstickstoff bedecken, vollständig gefrieren lassen, mit dem Rücken eines Holzlöffels leicht zerdrücken – sie zerfallen in einzelne Steinfrüchtchen. Eine beliebte Garnierung (bekannt durch Ferran Adrià).
Cryoformen; Technik; Fett, Sirup; ; Flüssigstickstoff, spritzen, formen, erstarren; Gefrieren mit Cryogenen: Technik; Erweichtes Fett oder Flüssigkeit (Ahornsirup) in einen Spritzbeutel geben, auf eine Palette spritzen, kurz in Flüssigstickstoff tauchen – die Masse erstarrt in der gewünschten Form. Vor dem Servieren im Kühlschrank erwärmen.
Trockeneis – Eigenschaften; Materialkunde; ; ; -78°C, -109°F, Kohlendioxid, fest; Gefrieren mit Cryogenen: Trockeneis; Trockeneis ist festes Kohlendioxid mit einer Temperatur von -78°C/-109°F. Es sublimiert direkt vom festen in den gasförmigen Zustand, ohne zu schmelzen. Die Volumenexpansion beträgt mehr als das 500-fache.
Karbonisieren mit Trockeneis; Technik; Obst, Getränke; ; Trockeneis, CO2, Druckbehälter; Gefrieren mit Cryogenen: Karbonisieren; Trockeneis in einen gut verschließbaren Plastikbehälter geben, isolierende Schicht Küchenpapier darüberlegen, kalte Früchte einlegen, Deckel verschließen. Kleine Früchte (Weintrauben) benötigen 30 min, große (Äpfel, Orangen) über Nacht.
Karbonisieren im Siphon; Technik; Getränke; ; Siphon, CO2-Kapsel, 3 Kapseln, kühlen; Gefrieren mit Cryogenen: Karbonisieren; Kalte Flüssigkeit in den Siphon füllen (max. 750 ml bei 1 l-Siphon). Beim Eindrehen der ersten Kapsel den Auslass nach unten halten (Luft entweicht). Zwei weitere Kapseln eindrehen. Eine Stunde kühlen, damit sich das Gas vollständig löst.
Kohlensäure – Geschmackswahrnehmung; Forschung; ; ; Carboanhydrase IV, Wasserstoffionen, Sauer; Gefrieren mit Cryogenen: Forschung; Das Enzym Carboanhydrase IV auf der Zungenoberfläche wandelt Kohlendioxid in Bicarbonat- und Wasserstoffionen um. Die Wasserstoffionen triggern die Rezeptoren für „sauer“. So entsteht das prickelnde Gefühl von Kohlensäure.
Trüffeln frisch halten – CO2-Begasung; Technik; Trüffel; ; Kohlendioxid, Begasung, Lagerung; Gefrieren mit Cryogenen: Trüffeln; Trüffeln in einem teilverschlossenen Beutel geben, einen leeren Siphon mit einer CO2-Kapsel laden, das Gas in den Beutel leiten (Sauerstoff verdrängen), Beutel verschließen und kühlen. Nach jedem Öffnen wiederholen.
Erdbeer-Milchshake mit Trockeneis – Rezept; Rezept; Erdbeeren; ; Trockeneis, Erdbeeren, Milch, sprudeln; Gefrieren mit Cryogenen: Beispiel; Erdbeeren mit Fructose bestäuben, einfrieren, auftauen, pürieren, durch Sieb streichen. Milch mit Molkepulver und Johannisbrotkernmehl köcheln, abkühlen, mit Erdbeersaft mixen. Trockeneis zu feinem Pulver mahlen, in Gläser geben, Milchshake eingießen – 10 s warten, bis es übersprudelt.
